ID,Q1_SSC_GPA,Q2_Secondary_School_Name,EIIN,Q3_School_Location,A1_Gender,A2_Home_Location,A3_Group_Type,A4_Medium_of_Education,B1_Monthly_Family_Income,B2_Father_Education,B3_Mother_Education,B4_Father_Occupation,B5_Received_Stipend,B6_Quiet_Study_Place_At_Home,C1_Class_Attendance_Rate,C2_Daily_Self_Study_Hours,C3_Repeated_Any_Class,C4_Regular_Homework_Completion,D1_Private_Tutor_At_Home,D2_Attended_Coaching_Center,D3_Used_Suggestion_Or_Guide_Books,D4_Extra_Classes_At_School,E0_Owned_Smartphone,E1_Internet_Access,E2_Daily_Internet_Usage_Hours,E3_Social_Media_Account,E4_Primary_Purpose_of_Internet,F1_School_Lab_Facility,F2_School_Library_Facility,F3_Departmental_Teacher_Count,F4_Class_Student_Count,G1_Understand_Difficult_Subjects,G2_Confidence_In_Core_Concepts,G3_Master_School_Skills,G4_Perform_Better_Than_Peers,G5_Confidence_In_Exam_Questions,G6_Nervous_Forget_Concepts,G7_Anxious_Insomnia_Before_Exam,G8_Anxious_Under_Pressure_Despite_Studying,G9_Peaceful_During_Exam,G10_Parents_Encouraged_Hard_Work,G11_Family_Interested_In_Progress,G12_Parents_Provided_Study_Materials,G13_Family_Discussed_School_Progress,Appeared,Passed,Pass rate,GPA_5,GPA_%,Appeared_numeric,Passed_numeric,Pass rate_numeric,GPA_%_numeric,Calculated_pass_rate,Pass_rate_difference,Calculated_GPA5_percentage,Calculated_pass_rate_check,Pass_rate_difference_check,G1_Understand_Difficult_Subjects_score,G2_Confidence_In_Core_Concepts_score,G3_Master_School_Skills_score,G4_Perform_Better_Than_Peers_score,G5_Confidence_In_Exam_Questions_score,G6_Nervous_Forget_Concepts_score,G7_Anxious_Insomnia_Before_Exam_score,G8_Anxious_Under_Pressure_Despite_Studying_score,G9_Peaceful_During_Exam_score,G10_Parents_Encouraged_Hard_Work_score,G11_Family_Interested_In_Progress_score,G12_Parents_Provided_Study_Materials_score,G13_Family_Discussed_School_Progress_score,G9_Peaceful_During_Exam_reverse,Academic_Self_Efficacy_Score,Exam_Anxiety_Score,Family_Academic_Support_Score,Target_numeric
1,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,"15,000 - 40,000 Taka",Secondary (SSC or Below),Primary,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,Yes,Yes,Yes,Yes,Yes,Less than 2 hours,Yes,Studying / Educational Content,Not Available,Available,4,40,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,3,3,3,4,4,4,4,4,4,4,4,2,3.4,3.5,4.0,1
2,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Commerce,Bangla Medium,Below 15000 TK,Primary,Primary,Job (Government or Private),No,Yes,Below 60%,Less than 2 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,4,65,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,3,3,4,4,4,2,4,4,4,4,4,3.6,4.0,4.0,1
3,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,No,No,Never_Use,No,Never_Use,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
4,Below 3.00,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Always,No,Yes,Yes,No,No,Yes,2 - 4 Hours,No,Both Equally,Not Available,Available,4,65,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,3,4,4,4,4,4,3,4,4,4,2,3.8,3.5,3.75,0
5,4.50 - 5.00,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),Yes,Yes,60% - 75%,2 - 4 Hours,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,2
6,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Always,No,Yes,Yes,No,No,Yes,Less than 2 Hours,Yes,Both Equally,Not Available,Available,4,30,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,1,1,4,4,4,1,4,4,2,4,4,4,4,4,2.8,3.25,4.0,1
7,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
8,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,No,No,No,No,Never_Use,No,Never_USe,Not Available,Available,4,30,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,3,4,1,4,4,4,4,4,4,4,4,4,4,2,3.2,3.5,4.0,1
9,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Others,No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,10,56,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,5,4,4,5,4,4,4,4,1,4,2,4,2,5,4.4,4.25,3.0,1
10,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,No Institutional Education,Higher Secondary (HSC) or Above,Business / Self-employed,No,No,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Available,Not Available,11,40,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,4,4,3,3,3,5,5,5,5,4,1,4.0,2.5,4.75,1
